q_id,web_list
1,"[1896, 1157, 372, 1809, 403]"
2,"[1607, 135, 368, 1573, 884]"
3,"[1573, 18, 807, 116, 1536]"
4,"[1573, 1574, 807, 1204, 18]"
5,"[1574, 18, 160, 807, 425]"
6,"[1544, 1574, 807, 1900, 1543]"
7,"[1178, 1826, 1588, 672, 1778]"
8,"[1673, 18, 807, 1574, 1778]"
9,"[886, 1193, 478, 18, 1896]"
10,"[1573, 807, 1204, 649, 18]"
11,"[18, 807, 1573, 1204, 1574]"
12,"[1192, 1611, 1896, 1594, 1596]"
13,"[1587, 927, 1574, 18, 156]"
14,"[1896, 1186, 1157, 368, 901]"
15,"[18, 807, 1204, 1573, 884]"
16,"[886, 18, 1249, 1042, 1930]"
17,"[1186, 368, 135, 1157, 739]"
18,"[807, 18, 1607, 1573, 1204]"
19,"[807, 18, 403, 1204, 884]"
20,"[1249, 1915, 1611, 46, 811]"
21,"[18, 1204, 114, 807, 1573]"
22,"[891, 1573, 1894, 884, 807]"
23,"[1809, 1574, 84, 1193, 160]"
24,"[1888, 420, 124, 904, 665]"
25,"[1917, 1611, 18, 1249, 1574]"
26,"[18, 807, 1204, 606, 1573]"
27,"[403, 807, 73, 18, 1204]"
28,"[1266, 1574, 1543, 1249, 1778]"
29,"[478, 18, 886, 1574, 807]"
30,"[1574, 1884, 58, 57, 54]"
31,"[670, 1618, 160, 927, 813]"
32,"[1573, 116, 807, 114, 1915]"
33,"[807, 1204, 18, 1573, 649]"
34,"[1673, 1157, 1809, 871, 893]"
35,"[739, 1896, 1607, 1186, 18]"
36,"[18, 807, 16, 1574, 1249]"
37,"[18, 807, 649, 1573, 632]"
38,"[1607, 1725, 1186, 1896, 18]"
39,"[1574, 478, 1457, 1573, 1194]"
40,"[1544, 18, 807, 478, 1900]"
41,"[1891, 665, 1525, 1197, 1516]"
42,"[57, 54, 58, 135, 884]"
43,"[18, 649, 160, 807, 610]"
44,"[807, 18, 884, 1267, 1544]"
45,"[16, 1204, 807, 18, 1567]"
46,"[1574, 425, 884, 1584, 1917]"
47,"[1587, 1573, 1627, 37, 18]"
48,"[1906, 1896, 1588, 1589, 1193]"
49,"[1897, 1922, 807, 1611, 18]"
50,"[160, 1574, 735, 1861, 403]"
51,"[1186, 1725, 739, 1863, 608]"
52,"[478, 1573, 18, 1574, 807]"
53,"[1896, 135, 1809, 1157, 623]"
54,"[18, 1204, 807, 884, 1574]"
55,"[739, 1809, 608, 1186, 1725]"
56,"[807, 1573, 1539, 884, 1564]"
57,"[1186, 1607, 368, 901, 1896]"
58,"[807, 1894, 606, 1266, 18]"
59,"[18, 807, 1204, 1567, 1249]"
60,"[1602, 1906, 1600, 1123, 478]"
61,"[1186, 1157, 1574, 1611, 608]"
62,"[807, 18, 1574, 1457, 1573]"
63,"[18, 37, 1618, 501, 1404]"
64,"[1567, 43, 18, 807, 160]"
65,"[216, 218, 18, 257, 1686]"
66,"[1573, 1204, 18, 1457, 1596]"
67,"[884, 606, 1249, 807, 18]"
68,"[665, 1573, 420, 1902, 18]"
69,"[1929, 1915, 807, 1574, 670]"
70,"[1896, 1349, 1056, 1593, 807]"
71,"[1193, 1035, 1560, 1629, 1554]"
72,"[807, 18, 1574, 647, 1573]"
73,"[160, 930, 1004, 807, 610]"
74,"[1193, 1612, 18, 1066, 1574]"
75,"[406, 407, 1573, 1191, 1548]"
76,"[1574, 1204, 18, 1249, 807]"
77,"[730, 1666, 1917, 731, 1153]"
78,"[116, 677, 544, 1573, 1618]"
79,"[1574, 1567, 18, 884, 37]"
80,"[403, 1567, 1596, 807, 16]"
81,"[807, 18, 1204, 16, 1434]"
82,"[1249, 18, 807, 1574, 1573]"
83,"[807, 1204, 18, 1567, 1249]"
84,"[18, 54, 57, 58, 807]"
85,"[18, 420, 807, 1778, 1574]"
86,"[18, 807, 16, 1204, 662]"
87,"[403, 443, 807, 480, 1567]"
88,"[1896, 901, 1157, 1191, 1906]"
89,"[480, 807, 18, 403, 1574]"
90,"[884, 54, 58, 57, 18]"
91,"[1701, 904, 1670, 96, 97]"
92,"[114, 1573, 1596, 18, 106]"
93,"[18, 807, 1573, 661, 1204]"
94,"[478, 1924, 116, 1434, 1197]"
95,"[1574, 1066, 1194, 1907, 1583]"
96,"[807, 18, 480, 1574, 1204]"
97,"[807, 784, 18, 160, 1267]"
98,"[18, 57, 54, 58, 1574]"
99,"[1717, 807, 18, 401, 639]"
100,"[1905, 1627, 1625, 1563, 1554]"
101,"[1574, 473, 452, 1900, 884]"
102,"[403, 1825, 18, 807, 884]"
103,"[1573, 1574, 18, 1204, 1249]"
104,"[1194, 1589, 1557, 1618, 1563]"
105,"[18, 160, 606, 807, 446]"
106,"[1204, 18, 501, 1404, 1573]"
107,"[406, 807, 1573, 18, 425]"
108,"[18, 807, 54, 58, 57]"
109,"[18, 807, 1204, 403, 446]"
110,"[1252, 1809, 1863, 1603, 1825]"
111,"[807, 1574, 417, 884, 18]"
112,"[1666, 1620, 1193, 407, 419]"
113,"[667, 807, 18, 798, 884]"
114,"[1896, 1194, 473, 1574, 1563]"
115,"[403, 807, 480, 18, 1574]"
116,"[1574, 1193, 886, 1025, 160]"
117,"[18, 807, 1587, 1567, 1573]"
118,"[1186, 1725, 739, 608, 1863]"
119,"[1204, 18, 1249, 1404, 561]"
120,"[18, 807, 1204, 639, 647]"
121,"[18, 1573, 1607, 1186, 1896]"
122,"[18, 807, 649, 403, 1204]"
123,"[406, 407, 425, 58, 54]"
124,"[73, 884, 54, 58, 57]"
125,"[18, 403, 807, 606, 635]"
126,"[807, 54, 58, 57, 18]"
127,"[421, 1574, 1618, 1588, 1194]"
128,"[114, 1573, 807, 1611, 1567]"
